batch_id,temperature_c,pressure_bar,mixing_time_min,mixing_speed_rpm,humidity_pct,ph_level,particle_size_um,active_ingredient_pct,moisture_content_pct,granulation_time_min,drying_temp_c,coating_thickness_um,tablet_hardness_n,dissolution_rate_pct,operator_experience_yr,shift,equipment_age_yr,raw_material_grade,batch_failed
BATCH-01019,53.7,1.88,44.1,144,54.8,7.88,208.5,97.8,3.296,19.7,67.7,152.2,75.7,89.13,1.1,0,6.6,1,0
BATCH-01020,76.73,2.53,66.7,126,21.1,7.73,176.1,97.521,2.514,29.7,70.5,131.9,90.2,90.57,6.4,2,0.5,0,0
BATCH-01021,63.19,2.639,30.8,130,39.3,7.16,221.1,96.628,4.48,46.9,56.4,174.9,69.8,92.88,2.7,0,6.0,0,0
BATCH-01022,65.54,3.18,26.5,182,26.9,7.62,221.9,96.668,3.159,25.9,56.0,109.8,100.0,95.39,6.8,2,0.9,0,1
BATCH-01023,53.6,1.846,52.8,113,35.5,6.84,246.3,99.542,2.305,31.6,52.6,164.1,89.4,83.11,2.6,2,3.5,0,0
BATCH-01024,60.64,1.0,38.2,112,20.0,7.26,238.6,95.258,1.847,37.3,48.5,115.6,65.9,95.54,0.6,2,2.4,0,0
BATCH-01025,65.89,2.592,41.8,123,43.6,7.69,219.7,100.426,1.72,32.2,64.6,141.2,105.5,87.74,1.0,2,3.4,0,0
BATCH-01026,55.79,3.4,37.2,147,33.6,6.95,154.9,97.486,2.768,32.3,68.1,123.4,82.5,90.21,8.3,1,0.6,1,0
BATCH-01027,68.01,3.119,42.4,82,45.6,6.65,297.9,96.841,2.109,27.1,48.7,197.6,69.2,96.06,1.5,1,2.4,0,0
BATCH-01028,60.19,2.605,61.0,71,28.7,5.78,143.9,99.11,3.839,28.1,54.4,116.5,96.6,90.98,1.5,2,0.5,1,0
BATCH-01029,62.67,2.254,53.0,105,45.8,6.75,238.0,100.228,3.673,22.3,51.9,146.9,87.4,92.33,13.3,0,0.5,0,0
BATCH-01030,60.19,2.904,53.6,79,40.9,7.29,217.3,99.676,3.006,36.8,52.1,106.8,53.4,81.88,5.4,0,4.3,1,0
BATCH-01031,79.82,2.013,30.8,109,60.0,7.37,153.0,98.753,1.557,16.1,63.3,190.0,72.1,96.99,0.6,1,12.1,0,0
BATCH-01032,64.89,2.738,33.5,133,59.1,7.1,195.0,99.63,1.962,37.8,45.8,160.0,84.2,90.57,0.8,1,6.0,0,0
BATCH-01033,56.54,2.753,16.6,98,52.9,6.48,196.8,95.425,3.505,18.8,58.3,153.4,47.6,86.01,1.6,1,2.5,1,1
BATCH-01034,71.58,3.03,36.9,84,41.7,5.61,252.2,97.217,2.05,37.7,60.1,186.9,81.3,93.81,4.5,1,0.5,0,0
BATCH-01035,55.23,3.88,54.6,122,64.9,6.5,171.5,96.633,3.398,27.2,54.0,153.7,82.4,100.0,7.0,1,0.5,1,0
BATCH-01036,66.67,2.696,50.2,142,29.5,6.62,189.5,99.837,2.88,20.1,61.3,155.5,62.2,75.65,1.6,1,0.7,0,0
BATCH-01037,49.32,2.246,42.8,78,31.0,6.61,106.6,97.425,2.541,34.6,56.0,153.3,84.1,78.57,10.2,0,14.9,1,1
BATCH-01038,54.37,2.487,44.8,141,44.2,7.17,269.4,99.268,1.938,37.4,63.5,164.1,80.1,100.0,0.6,0,2.0,0,0
BATCH-01039,66.57,1.615,38.1,140,67.5,7.99,157.2,98.804,2.425,26.5,44.3,137.7,62.1,88.41,1.2,1,7.4,0,1
BATCH-01040,70.91,2.153,47.0,144,43.0,6.87,213.1,96.707,2.652,35.8,52.6,144.6,93.8,86.53,17.6,0,4.9,0,0
BATCH-01041,66.37,2.295,52.7,150,43.2,6.67,195.9,97.12,3.326,11.7,54.5,170.3,92.6,84.08,0.7,2,3.7,0,1
BATCH-01042,64.07,2.238,28.8,175,30.6,6.64,196.1,99.941,1.791,19.4,36.3,156.9,75.7,94.67,11.0,2,11.8,0,0
BATCH-01043,62.59,2.576,48.0,111,54.5,6.87,232.4,96.837,2.29,40.3,47.4,147.1,77.0,100.0,6.1,1,1.0,0,0
BATCH-01044,53.17,2.089,54.3,123,54.5,6.3,266.9,98.187,2.536,28.2,49.3,115.0,90.9,79.68,0.5,2,2.4,0,0
BATCH-01045,59.24,3.061,40.8,110,52.9,6.87,210.1,96.826,3.03,15.1,61.6,187.5,77.0,84.22,3.3,1,8.0,1,0
BATCH-01046,61.31,2.5,52.0,120,38.7,7.07,226.2,97.529,1.773,24.4,50.1,133.5,51.0,82.19,3.7,0,3.2,1,0
BATCH-01047,73.46,2.495,73.1,158,37.9,6.93,213.2,97.931,1.447,22.6,49.3,174.7,87.3,90.86,13.5,1,1.1,0,0
BATCH-01048,67.75,2.336,44.0,86,32.1,7.07,240.7,96.826,3.039,28.7,60.7,154.4,67.8,94.78,2.7,0,0.9,0,0
BATCH-01049,50.9,2.578,48.9,98,45.8,7.06,181.5,96.559,1.286,27.0,43.7,117.7,74.2,97.97,3.0,0,5.6,0,0
BATCH-01050,67.59,2.913,37.6,154,34.2,5.74,243.0,98.429,3.528,31.4,40.5,181.3,101.9,91.13,0.6,0,0.5,1,0
BATCH-01051,61.92,2.066,46.8,146,33.2,7.18,244.4,96.733,2.375,29.4,52.5,156.4,78.0,100.0,5.1,1,9.8,0,0
BATCH-01052,59.58,2.171,49.6,111,40.8,6.4,243.3,96.784,1.262,40.9,44.9,183.4,80.0,80.4,1.2,1,0.5,1,0
BATCH-01053,69.89,2.348,46.9,141,40.1,6.14,173.6,96.591,2.116,33.4,45.1,145.4,87.6,78.32,0.5,0,4.0,0,0
BATCH-01054,73.25,1.827,34.8,129,39.6,6.14,193.3,97.883,2.803,33.7,59.0,167.6,87.6,96.75,20.0,0,3.7,0,0
BATCH-01055,72.45,2.09,47.1,158,49.7,7.06,209.6,99.416,2.074,39.3,61.1,105.9,66.2,85.98,1.6,1,3.5,0,0
BATCH-01056,58.29,2.262,59.6,122,45.8,6.67,145.2,100.26,2.516,26.9,60.5,137.5,79.1,73.99,0.8,0,2.6,0,0
BATCH-01057,62.53,2.937,49.5,146,42.1,5.79,263.8,96.911,3.092,19.9,62.8,118.2,80.5,82.47,6.0,0,7.7,0,0
BATCH-01058,67.65,2.631,54.6,186,46.8,7.09,199.5,101.225,2.338,39.7,63.7,140.6,84.1,87.05,8.6,1,4.3,1,0
BATCH-01059,72.8,2.597,42.6,135,35.1,5.94,211.4,96.493,1.75,31.1,40.1,161.8,84.3,79.83,0.5,0,6.1,0,0
BATCH-01060,61.17,2.925,52.5,121,46.1,6.88,176.9,99.625,2.261,31.1,58.2,134.9,118.8,76.88,0.6,0,0.5,0,0
BATCH-01061,63.51,2.431,47.8,138,46.5,6.94,146.9,96.917,3.632,24.9,51.3,171.6,62.4,83.34,0.5,0,0.5,1,0
BATCH-01062,56.15,2.695,35.5,111,30.0,7.33,175.8,96.694,3.848,25.1,49.8,128.6,94.7,76.48,0.5,1,0.5,0,0
BATCH-01063,55.43,2.448,48.2,180,55.0,7.87,208.8,96.883,0.884,36.8,58.9,172.1,97.8,90.08,5.4,2,0.6,0,1
BATCH-01064,71.5,2.633,35.1,125,36.2,5.98,226.9,97.921,3.373,37.9,42.9,182.7,87.4,69.45,4.4,2,4.4,1,1
BATCH-01065,75.85,2.209,38.7,113,45.9,6.77,206.5,98.87,2.7,36.3,42.7,175.3,70.2,85.72,5.4,1,2.7,1,0
BATCH-01066,64.42,1.281,46.9,99,56.6,6.63,213.9,99.005,3.239,36.3,59.4,141.4,105.0,89.16,3.5,0,5.6,0,0
BATCH-01067,73.03,2.433,48.0,147,54.3,7.06,186.5,96.584,2.06,34.6,58.4,96.9,47.1,84.28,8.5,0,0.9,1,0
BATCH-01068,67.89,3.211,33.1,142,45.3,6.93,219.8,96.516,1.085,31.1,56.0,164.6,69.8,93.75,4.0,0,1.8,0,0
BATCH-01069,59.84,2.963,55.5,108,41.4,6.59,259.3,96.625,2.968,28.6,48.8,146.9,97.6,74.04,12.6,1,8.8,0,0
BATCH-01070,67.89,2.983,50.7,134,54.5,6.54,228.2,97.833,1.747,39.7,60.2,125.5,74.4,79.39,3.3,1,11.0,0,0
BATCH-01071,77.3,3.118,38.0,82,51.7,6.13,232.4,97.685,1.389,27.0,59.8,136.1,103.9,82.36,7.8,1,10.2,0,0
BATCH-01072,64.71,2.544,29.6,125,38.8,7.39,211.8,96.575,1.445,33.0,55.6,185.9,57.3,90.7,2.6,0,6.8,1,0
BATCH-01073,77.52,2.599,43.6,131,37.1,7.08,139.9,98.404,2.981,23.6,46.8,121.6,63.3,86.75,2.9,0,4.7,1,1
BATCH-01074,44.04,2.191,40.5,163,24.3,7.35,158.2,101.394,2.612,24.7,52.0,161.7,72.0,100.0,9.5,0,9.8,0,0
BATCH-01075,71.58,2.342,46.1,101,46.5,6.61,218.2,97.243,3.126,28.1,60.9,155.4,86.3,78.55,0.6,1,5.0,0,0
BATCH-01076,65.7,2.808,41.4,88,44.2,6.41,199.6,97.35,3.035,23.6,64.3,141.1,76.7,73.84,4.2,0,12.3,1,0
BATCH-01077,62.61,3.102,24.9,98,56.4,6.15,217.6,98.839,2.163,36.4,52.7,166.1,72.6,99.31,6.5,1,0.5,1,0
BATCH-01078,65.73,2.43,41.1,87,48.6,7.02,267.1,97.162,2.444,19.2,53.3,190.8,101.3,73.55,6.9,0,10.2,0,1
BATCH-01079,49.1,2.275,41.9,153,58.3,6.18,229.0,99.003,2.091,30.8,53.9,142.6,102.7,90.46,4.5,1,3.2,0,1
BATCH-01080,63.24,2.5,51.3,159,38.0,7.91,250.4,96.922,2.332,31.1,56.9,143.9,73.8,77.17,3.0,0,0.5,1,0
BATCH-01081,67.86,2.801,38.0,128,56.4,6.02,203.8,100.748,1.726,15.5,50.9,165.6,54.4,68.45,1.5,0,1.0,1,1
BATCH-01082,76.82,1.778,61.8,151,39.7,6.96,167.7,98.517,2.812,26.5,35.0,173.0,47.6,82.0,12.0,0,7.6,0,0
BATCH-01083,60.85,1.352,25.9,123,52.8,7.74,197.7,97.07,3.36,32.0,63.3,146.8,83.6,92.2,2.3,0,2.8,1,0
BATCH-01084,58.53,2.225,58.1,118,30.4,7.16,167.8,97.117,1.847,33.4,67.6,142.4,89.8,75.23,8.0,0,15.0,0,0
BATCH-01085,60.99,1.89,42.8,112,47.4,6.91,262.3,97.229,3.525,28.4,50.7,94.6,80.9,89.61,0.5,2,0.5,0,0
BATCH-01086,72.32,2.246,53.6,112,25.2,6.22,231.6,100.059,2.591,35.4,47.5,130.5,78.9,91.1,1.3,0,2.1,0,0
BATCH-01087,67.63,2.426,45.8,81,42.3,5.97,220.8,96.097,2.693,29.1,54.0,121.5,67.9,74.83,2.1,0,1.6,0,0
BATCH-01088,60.76,2.273,56.4,127,49.4,7.26,249.4,96.998,1.14,30.1,53.7,167.1,89.8,83.18,5.6,1,2.9,1,0
BATCH-01089,69.11,3.226,41.1,119,39.8,7.7,119.2,97.158,1.054,32.0,62.0,143.9,105.2,97.62,1.9,1,4.0,0,0
BATCH-01090,65.78,2.663,34.0,139,34.5,6.54,223.5,97.976,2.615,37.4,55.4,142.9,46.7,90.2,0.5,0,4.3,0,0
BATCH-01091,72.75,2.65,59.2,122,53.5,6.12,147.6,97.593,3.132,24.6,49.5,149.8,78.8,82.91,1.0,1,0.5,1,0
BATCH-01092,59.38,2.811,43.9,116,44.0,5.33,199.7,95.763,1.963,26.1,45.8,128.2,65.4,88.32,1.5,1,0.5,0,0
BATCH-01093,62.38,1.931,47.2,98,40.1,6.21,187.5,97.4,3.836,24.6,61.1,188.8,57.6,79.52,1.0,0,0.5,1,1
BATCH-01094,61.86,3.02,57.3,122,45.4,6.73,226.5,97.851,3.088,27.3,59.2,182.5,63.1,93.91,1.1,1,8.0,1,0
BATCH-01095,53.29,2.462,34.7,138,71.4,7.76,209.1,97.058,1.773,41.4,62.4,190.5,85.7,93.91,7.3,0,1.5,0,0
BATCH-01096,67.37,2.835,51.0,91,56.5,7.2,253.8,99.03,2.525,34.6,48.2,167.1,86.1,85.97,2.7,0,1.8,0,0
BATCH-01097,67.09,1.964,39.1,122,56.6,6.98,175.9,99.379,4.482,21.0,67.9,149.3,101.9,86.85,2.6,2,2.4,1,0
BATCH-01098,65.04,1.723,43.7,126,49.4,6.56,228.4,97.882,1.506,25.2,42.8,190.4,80.1,77.01,17.0,0,7.6,0,0
BATCH-01099,63.12,2.909,45.7,102,46.7,6.45,206.5,98.346,2.923,33.0,60.0,133.0,53.6,74.18,3.0,0,0.5,0,0
BATCH-01100,53.68,2.688,30.0,105,21.0,7.64,134.6,94.758,2.242,22.7,41.6,128.2,76.4,81.99,13.1,2,0.5,1,0
BATCH-01101,61.63,2.049,37.2,126,38.2,6.92,163.3,97.368,3.066,24.2,49.5,135.0,59.2,84.3,1.8,1,4.6,0,0
BATCH-01102,62.26,2.065,58.5,92,40.2,5.54,194.0,99.507,3.514,40.8,65.9,163.1,61.9,93.5,2.6,1,13.3,0,0
BATCH-01103,58.58,3.063,53.9,129,26.3,6.4,244.5,97.365,2.191,25.1,60.8,130.9,88.7,92.38,2.5,1,4.1,1,1
BATCH-01104,63.71,1.905,44.4,98,33.4,6.29,218.5,96.894,3.395,37.6,51.2,146.1,82.9,86.48,3.9,1,1.2,1,0
BATCH-01105,68.23,3.321,47.4,147,25.2,6.47,153.3,101.417,4.277,40.0,51.4,110.0,88.8,94.52,4.4,1,2.9,0,0
BATCH-01106,80.09,2.05,42.1,178,44.6,7.14,194.4,100.729,2.553,24.1,55.7,162.0,74.6,77.45,1.4,0,14.8,0,1
BATCH-01107,66.4,2.819,58.6,98,53.2,6.74,280.7,98.701,3.128,22.9,58.6,112.1,91.9,93.62,7.9,0,3.0,0,0
BATCH-01108,67.06,2.336,43.0,133,56.1,6.75,204.4,99.708,2.028,27.8,63.8,126.7,73.8,78.68,3.4,0,1.9,1,0
BATCH-01109,64.4,2.802,47.3,102,49.1,7.59,186.9,94.661,2.515,21.3,51.8,180.4,96.8,94.92,0.5,0,1.9,1,1
BATCH-01110,49.65,2.228,56.5,146,35.4,6.38,219.7,96.819,2.359,31.0,43.7,179.5,85.2,84.89,4.5,0,13.6,0,0
BATCH-01111,64.79,2.419,37.2,88,25.7,7.92,230.5,97.295,3.138,28.4,56.1,159.4,76.9,69.01,8.0,1,5.1,1,0
BATCH-01112,65.48,2.52,60.6,132,27.4,6.4,181.8,97.646,3.464,32.9,51.8,156.9,83.2,90.84,1.4,0,4.6,0,0
BATCH-01113,84.71,1.999,29.7,98,32.3,6.85,220.1,97.265,2.412,41.2,45.9,136.7,79.7,91.48,0.5,0,1.1,1,1
BATCH-01114,63.46,2.87,61.3,115,36.1,6.63,186.8,94.175,3.727,36.5,57.1,130.7,103.9,81.35,8.2,1,3.3,0,0
BATCH-01115,67.41,2.243,41.3,94,43.4,6.87,228.8,98.579,3.724,33.9,53.5,140.9,83.7,82.03,18.7,1,1.8,1,1
BATCH-01116,64.72,2.386,42.6,141,34.9,7.07,206.8,98.815,3.177,14.3,57.1,112.2,80.0,83.72,0.5,2,1.1,1,0
BATCH-01117,55.65,2.003,26.1,99,48.4,7.06,219.3,100.403,2.087,33.5,48.7,156.3,76.4,69.6,13.9,1,9.0,1,0
BATCH-01118,74.14,1.219,40.5,134,42.7,6.35,169.6,96.818,2.011,43.8,58.4,151.2,92.6,66.08,2.2,2,1.9,1,0
BATCH-01119,71.02,2.404,34.6,111,45.1,6.13,167.1,96.695,1.85,10.0,45.8,126.7,90.6,95.41,14.2,1,1.3,1,0
BATCH-01120,71.33,3.706,38.9,117,56.4,8.3,237.8,93.98,3.259,35.5,49.2,189.2,75.9,78.41,5.2,1,10.7,1,1
BATCH-01121,57.72,2.892,43.6,124,33.2,6.51,196.8,97.56,1.531,28.7,53.3,165.2,62.7,99.84,11.0,2,0.9,1,0
BATCH-01122,76.22,2.49,54.6,101,49.2,7.22,211.4,99.352,3.041,23.2,67.2,167.3,66.5,95.96,7.7,2,5.5,1,0
BATCH-01123,53.79,2.369,47.1,125,44.9,5.84,187.7,97.082,1.635,36.4,60.5,137.8,77.2,97.54,0.5,1,4.2,1,0
BATCH-01124,69.69,2.511,48.1,158,41.7,6.63,235.9,101.215,3.159,43.7,62.5,150.0,100.2,79.8,0.5,1,10.1,0,1
BATCH-01125,82.52,2.774,34.0,101,53.9,6.72,175.7,97.615,2.514,36.2,64.9,165.7,76.2,72.13,3.7,0,7.1,0,0
BATCH-01126,57.08,1.91,36.2,149,53.8,7.08,194.6,98.22,3.567,27.0,80.0,153.8,71.1,76.3,0.7,2,4.9,0,0
BATCH-01127,60.47,3.057,63.0,157,35.5,5.17,231.4,95.955,3.413,22.5,55.3,190.0,53.6,81.43,3.1,1,1.5,0,0
BATCH-01128,65.8,2.858,37.6,100,43.2,6.9,246.9,98.431,3.648,31.2,64.9,144.9,102.7,66.01,15.5,2,2.7,1,1
BATCH-01129,60.97,2.859,61.6,84,47.8,6.11,179.0,95.031,3.669,37.0,62.1,137.4,88.5,81.2,1.7,0,11.6,0,0
BATCH-01130,52.59,2.719,42.6,128,42.3,6.99,278.4,99.041,2.615,26.9,62.0,165.9,91.9,83.39,3.4,0,0.5,0,0
BATCH-01131,65.55,2.51,45.0,106,50.9,6.18,212.5,99.087,1.573,27.7,67.4,118.4,94.4,74.64,2.4,0,6.3,0,0
BATCH-01132,56.5,2.836,55.7,167,47.8,6.29,158.3,100.039,1.658,52.6,52.1,173.1,77.5,76.68,5.0,2,1.2,0,0
BATCH-01133,68.79,2.796,57.7,121,63.3,6.64,214.8,96.47,0.831,38.6,51.5,117.5,81.3,83.24,1.1,2,0.8,0,0
BATCH-01134,57.64,2.323,43.9,100,29.7,6.17,184.7,98.241,1.633,39.2,57.2,166.0,102.3,87.85,1.5,0,1.1,1,1
BATCH-01135,77.4,2.213,41.1,91,43.8,6.51,217.4,98.846,2.555,18.3,53.7,133.8,82.7,77.87,9.8,1,0.5,1,0
BATCH-01136,58.73,2.551,44.4,147,35.9,6.08,198.3,98.663,2.052,24.3,57.2,161.9,88.8,87.34,8.3,0,15.0,0,0
BATCH-01137,62.42,3.275,48.4,106,51.0,5.7,203.0,96.702,2.356,30.6,65.9,172.7,93.1,86.09,7.8,0,8.2,0,0
BATCH-01138,71.51,1.88,53.9,121,28.8,7.41,163.5,94.412,2.894,22.0,51.7,153.8,89.6,85.38,7.4,0,2.9,1,0
BATCH-01139,55.15,1.766,45.0,144,48.5,6.02,239.6,98.52,2.257,42.8,52.9,120.0,78.1,79.78,3.1,1,5.0,1,0
BATCH-01140,66.82,2.582,51.2,108,38.7,6.69,153.8,97.771,1.603,41.3,56.2,127.6,79.5,74.33,6.5,2,3.3,0,0
BATCH-01141,75.46,2.525,61.4,119,37.7,7.25,155.6,97.15,2.457,25.7,53.4,131.8,91.7,98.57,2.4,0,6.7,0,0
BATCH-01142,52.14,2.587,48.8,120,30.5,6.43,214.7,99.146,1.781,44.3,41.6,102.6,91.6,90.04,0.5,1,7.5,0,0
BATCH-01143,66.48,2.622,48.1,137,40.3,6.3,264.1,97.933,2.283,30.0,50.9,178.2,97.5,93.05,2.5,1,1.1,0,1
BATCH-01144,67.08,2.388,29.8,135,55.8,6.94,185.9,96.021,3.574,50.7,59.8,152.8,88.3,84.33,0.9,0,2.5,0,0
BATCH-01145,71.25,3.245,18.7,114,44.7,7.47,228.0,95.103,2.284,31.2,65.1,121.6,88.9,83.69,2.5,2,4.0,1,0
BATCH-01146,55.1,1.7,48.9,122,51.3,6.1,242.9,96.307,3.917,34.6,46.9,186.4,73.3,88.93,1.8,2,15.0,1,0
BATCH-01147,54.44,2.086,44.1,111,61.6,6.71,232.6,101.59,3.645,41.2,46.9,132.5,71.3,70.32,4.6,0,4.6,0,0
BATCH-01148,69.18,2.448,39.9,83,47.6,5.76,187.6,99.084,2.037,40.2,55.2,156.3,91.7,76.08,2.2,1,9.1,1,0
BATCH-01149,67.38,1.678,47.4,126,39.4,6.56,156.4,98.283,1.611,34.1,40.5,129.4,71.4,78.62,6.1,0,7.5,1,0
BATCH-01150,67.0,2.412,44.4,167,49.7,6.82,111.7,97.728,2.458,28.9,51.9,99.5,79.7,81.36,3.6,1,3.5,1,0
BATCH-01151,67.77,3.331,56.3,98,39.6,6.29,189.5,97.629,3.423,34.1,42.8,115.9,100.7,77.96,12.6,1,9.0,1,0
BATCH-01152,59.56,2.51,45.9,101,40.0,6.53,247.1,99.751,2.108,23.5,64.6,138.8,98.3,87.66,0.5,0,1.9,1,0
BATCH-01153,66.86,2.615,37.5,98,29.8,5.96,155.0,97.264,3.226,31.2,49.6,172.5,84.5,85.65,5.8,2,1.9,0,0
BATCH-01154,67.34,1.87,54.9,138,54.3,6.85,228.0,98.865,3.467,21.1,66.6,158.7,75.6,96.14,5.6,1,6.1,0,0
BATCH-01155,59.29,2.192,42.8,131,41.1,7.43,162.0,97.477,1.881,15.8,62.8,153.5,78.1,100.0,15.0,2,0.6,1,0
BATCH-01156,79.93,2.312,50.3,116,46.8,6.14,204.2,100.91,1.959,30.4,50.5,99.7,93.0,74.9,2.3,0,1.5,0,0
BATCH-01157,68.79,2.341,40.2,97,34.6,6.43,228.3,99.113,3.07,40.1,47.5,181.8,79.5,86.18,1.8,2,3.8,1,0
BATCH-01158,55.47,3.141,38.5,122,49.4,7.1,173.6,99.868,2.621,37.4,53.6,155.6,71.6,86.16,0.9,1,2.2,1,0
BATCH-01159,70.25,2.779,45.8,81,37.4,7.53,206.8,97.123,1.951,29.3,54.3,147.0,98.2,84.89,1.5,0,11.3,0,0
BATCH-01160,57.2,1.944,45.1,124,43.6,5.9,183.4,99.587,2.218,44.0,57.4,178.3,82.7,76.32,3.5,0,12.7,0,0
BATCH-01161,71.3,2.623,49.8,142,53.8,6.7,228.2,97.531,2.444,25.4,49.6,181.2,71.3,77.66,9.1,2,2.8,0,0
BATCH-01162,74.27,2.749,42.3,89,52.9,6.97,209.4,98.165,1.248,14.7,60.2,178.9,87.2,86.92,1.7,1,3.1,0,0
BATCH-01163,58.43,3.07,26.6,82,44.8,6.74,202.3,100.453,3.113,12.5,56.9,143.8,94.6,77.44,0.9,0,5.2,0,0
BATCH-01164,72.71,3.29,40.7,159,27.3,5.31,262.3,96.436,2.117,20.6,52.6,124.9,64.9,86.27,1.6,2,2.4,0,1
BATCH-01165,68.3,1.992,52.9,105,74.9,7.1,226.5,98.305,0.5,36.5,50.0,174.7,77.0,83.03,0.5,0,0.8,0,0
BATCH-01166,71.58,2.095,42.0,148,62.5,7.71,172.4,98.657,2.481,24.9,53.7,115.9,76.3,86.13,13.1,0,5.5,0,0
BATCH-01167,80.17,1.871,42.5,116,52.2,6.87,196.6,98.78,1.907,33.7,49.3,198.7,86.8,77.37,10.3,1,5.4,0,0
BATCH-01168,63.04,2.383,54.9,116,37.5,6.18,197.0,97.324,3.851,43.2,55.4,150.7,89.5,86.26,1.8,1,1.1,1,0
BATCH-01169,58.97,2.733,37.9,131,43.9,6.49,203.2,101.129,2.032,21.2,55.6,123.5,71.7,77.95,1.4,0,7.2,1,0
BATCH-01170,57.88,2.994,29.6,98,39.6,7.86,301.0,96.058,1.622,33.8,56.8,119.2,57.6,86.29,11.8,1,3.8,0,0
BATCH-01171,58.47,2.462,43.4,123,57.6,7.35,214.8,100.188,2.906,34.3,67.4,118.1,95.5,95.72,0.5,1,1.1,0,0
BATCH-01172,64.38,2.34,40.2,110,47.6,7.18,118.6,99.823,1.972,23.1,54.1,153.5,63.2,87.09,4.6,1,4.2,1,0
BATCH-01173,67.73,2.576,35.3,87,37.2,7.01,178.3,100.851,1.876,40.8,62.0,149.8,84.1,87.57,12.4,1,1.1,0,0
BATCH-01174,67.21,2.082,43.2,128,40.3,6.4,122.7,95.618,2.908,27.7,56.6,119.1,78.0,91.54,3.6,0,1.2,0,0
BATCH-01175,71.62,3.545,49.9,113,56.2,6.68,186.8,96.697,1.668,26.9,53.3,141.1,82.4,73.77,0.5,2,7.5,0,0
BATCH-01176,65.1,1.696,44.9,116,61.0,6.75,120.5,100.238,1.334,46.9,54.2,115.8,104.8,98.75,1.2,0,10.6,0,0
BATCH-01177,76.63,2.592,48.1,90,60.3,7.13,165.1,95.184,3.881,34.2,54.6,164.7,125.6,76.56,12.8,2,1.2,0,0
BATCH-01178,62.88,3.512,63.1,160,52.6,7.71,139.2,95.59,2.964,37.4,57.0,148.6,55.5,92.04,0.5,0,10.5,0,0
BATCH-01179,86.76,2.503,41.6,142,42.5,7.47,215.4,97.268,2.289,40.8,48.3,140.5,94.8,90.98,2.5,0,1.1,0,0
